WKT,name,description
"POINT (-78.3961973 37.29717979999999)",Longwood University,
"POINT (-91.1800023 30.4132579)",Louisiana State University,
"POINT (-92.6522174 32.5299582)",Louisiana Tech University,
"POINT (-118.4170134 33.97095410000001)",Loyola Marymount University,
"POINT (-87.65825919999999 41.9989483)",Loyola University Chicago,
"POINT (-76.6172375 39.3476737)",Loyola University Maryland,
"POINT (-73.9011239 40.8900515)",Manhattan College,
"POINT (-73.9344876 41.7231052)",Marist College,
"POINT (-87.93101399999999 43.03869549999999)",Marquette University,
"POINT (-82.42471979999999 38.4236597)",Marshall University,
"POINT (-93.2152198 30.1776851)",McNeese State University,
"POINT (-83.64969909999999 32.8284878)",Mercer University,
"POINT (-71.1234527 42.6673814)",Merrimack College,
"POINT (-84.73449149999999 39.5087485)",Miami University,
"POINT (-84.4815364 42.72965930000001)",Michigan State University,
"POINT (-86.36691549999999 35.8486229)",Middle Tennessee State University,
"POINT (-88.79437659999999 33.45517419999999)",Mississippi State University,
"POINT (-90.3416715 33.51269819999999)",Mississippi Valley State University,
"POINT (-93.2806806 37.20055459999999)",Missouri State University,
"POINT (-74.0054114 40.28027579999999)",Monmouth University,
"POINT (-111.0546211 45.66735239999999)",Montana State University,
"POINT (-83.4310035 38.18943)",Morehead State University,
"POINT (-76.5843847 39.3437959)",Morgan State University,
"POINT (-77.3486971 39.6799914)",Mount St. Mary's University,
"POINT (-88.3209372 36.616251)",Murray State University,
"POINT (-74.1793225 40.74234619999999)",New Jersey Institute of Technology,
"POINT (-106.7491391 32.27928869999999)",New Mexico State University,
"POINT (-79.0349955 43.1369816)",Niagara University,
"POINT (-90.8028911 29.7903032)",Nicholls State University,
"POINT (-76.2620987 36.8479292)",Norfolk State University,
"POINT (-79.77292419999999 36.0806927)",North Carolina A&T State University,
"POINT (-78.899654 35.97524869999999)",North Carolina Central University,
"POINT (-78.6812824 35.7850744)",North Carolina State University,
"POINT (-96.8024367 46.8977528)",North Dakota State University,
"POINT (-71.0898892 42.339904)",Northeastern University,
"POINT (-111.6540336 35.1802684)",Northern Arizona University,
"POINT (-88.7734365 41.935056)",Northern Illinois University,
"POINT (-84.4625345 39.03120349999999)",Northern Kentucky University,
"POINT (-93.097876 31.7489726)",Northwestern State University,
"POINT (-87.67526699999999 42.05645939999999)",Northwestern University,
"POINT (-83.20823469999999 42.6678782)",Oakland University,
"POINT (-83.0304546 40.0066723)",Ohio State University,
"POINT (-82.10138889999999 39.32435799999999)",Ohio University,
"POINT (-97.07372219999999 36.12702360000001)",Oklahoma State University,
"POINT (-76.3058786 36.8853217)",Old Dominion University,
"POINT (-95.9528284 36.05080929999999)",Oral Roberts University,
"POINT (-123.2794442 44.56378060000001)",Oregon State University,
"POINT (-77.8599084 40.7982133)",The Pennsylvania State University,
"POINT (-118.709596 34.0415037)",Pepperdine University,
"POINT (-122.6833385 45.51111529999999)",Portland State University,
"POINT (-95.9907076 30.0954974)",Prairie View A&M University,
"POINT (-81.87755899999999 34.465182)",Presbyterian College,
"POINT (-74.65507389999999 40.3430942)",Princeton University,
"POINT (-71.4347475 41.8440047)",Providence College,
"POINT (-86.92119459999999 40.4237054)",Purdue University,
"POINT (-85.1059405 41.1184535)",Purdue University Fort Wayne,
"POINT (-80.83297240000002 35.18862599999999)",Queens University of Charlotte,
"POINT (-72.89364929999999 41.4189262)",Quinnipiac University,
"POINT (-80.5502298 37.1374838)",Radford University,
"POINT (-95.40183119999999 29.7173941)",Rice University,
"POINT (-74.7407633 40.2811583)",Rider University,
"POINT (-80.2127179 40.5213461)",Robert Morris University,
"POINT (-74.17418909999999 40.7416983)",Rutgers University,
"POINT (-73.24239469999999 41.220562)",Sacred Heart University,
"POINT (-78.6376191 40.50382)",Saint Francis University,
