WKT,name,description
"LINESTRING (-105.2659871 40.0073499, -105.0848391 40.5729432)",University of Colorado Boulder & Colorado State University,
"LINESTRING (-105.0848391 40.5729432, -104.6944603 40.4062697)",Colorado State University & University of Northern Colorado,
"LINESTRING (-104.9618965 39.6766174, -104.8613176 38.9983094)",University of Denver & United States Air Force Academy,
"LINESTRING (-101.8746483 33.5845522, -99.7080103 32.4700922)",Texas Tech University & Abilene Christian University,
"LINESTRING (-99.7080103 32.4700922, -98.215953 32.2160433)",Abilene Christian University & Tarleton State University,
"LINESTRING (-98.61987789999999 29.5830733, -98.4676824 29.4675393)",The University of Texas at San Antonio & University of the Incarnate Word,
"LINESTRING (-98.4676824 29.4675393, -97.938351 29.888411)",University of the Incarnate Word & Texas State University,
"LINESTRING (-98.4676824 29.4675393, -97.32457389999999 27.7123121)",University of the Incarnate Word & Texas A&M University-Corpus Christi,
"LINESTRING (-98.215953 32.2160433, -97.36280409999999 32.7078531)",Tarleton State University & Texas Christian University,
"LINESTRING (-98.17401579999999 26.30819829999999, -97.32457389999999 27.7123121)",The University of Texas Rio Grande Valley & Texas A&M University-Corpus Christi,
"LINESTRING (-97.938351 29.888411, -97.7340567 30.2849185)",Texas State University & The University of Texas at Austin,
"LINESTRING (-97.7340567 30.2849185, -97.11354 31.5500848)",The University of Texas at Austin & Baylor University,
"LINESTRING (-97.4448963 35.1987162, -97.07372219999999 36.12702360000001)",The University of Oklahoma & Oklahoma State University,
"LINESTRING (-97.36280409999999 32.7078531, -97.11519709999999 32.7292117)",Texas Christian University & The University of Texas at Arlington,
"LINESTRING (-97.28994209999999 37.7191442, -96.5847249 39.1974437)",Wichita State University & Kansas State University,
"LINESTRING (-97.28994209999999 37.7191442, -97.07372219999999 36.12702360000001)",Wichita State University & Oklahoma State University,
"LINESTRING (-97.1525862 33.207488, -97.11519709999999 32.7292117)",University of North Texas & The University of Texas at Arlington,
"LINESTRING (-97.11519709999999 32.7292117, -96.78451749999999 32.8412178)",The University of Texas at Arlington & Southern Methodist University,
"LINESTRING (-97.11519709999999 32.7292117, -97.11354 31.5500848)",The University of Texas at Arlington & Baylor University,
"LINESTRING (-97.11354 31.5500848, -96.33646549999999 30.6186806)",Baylor University & Texas A&M University,
"LINESTRING (-97.0768014 47.922891, -96.8024367 46.8977528)",University of North Dakota & North Dakota State University,
"LINESTRING (-97.07372219999999 36.12702360000001, -95.9528284 36.05080929999999)",Oklahoma State University & Oral Roberts University,
"LINESTRING (-96.92533809999999 42.7883015, -96.010696 41.2580268)",University of South Dakota & University of Nebraska Omaha,
"LINESTRING (-96.92533809999999 42.7883015, -96.78351819999999 44.3191071)",University of South Dakota & South Dakota State University,
"LINESTRING (-96.8024367 46.8977528, -96.78351819999999 44.3191071)",North Dakota State University & South Dakota State University,
"LINESTRING (-96.78451749999999 32.8412178, -95.91041489999999 33.24066449999999)",Southern Methodist University & Texas A&M University-Commerce,
"LINESTRING (-96.70047629999999 40.82019659999999, -96.5847249 39.1974437)",University of Nebraska-Lincoln & Kansas State University,
"LINESTRING (-96.70047629999999 40.82019659999999, -96.010696 41.2580268)",University of Nebraska-Lincoln & University of Nebraska Omaha,
"LINESTRING (-96.5847249 39.1974437, -95.2557961 38.95434389999999)",Kansas State University & University of Kansas,
"LINESTRING (-96.33646549999999 30.6186806, -95.9907076 30.0954974)",Texas A&M University & Prairie View A&M University,
"LINESTRING (-96.010696 41.2580268, -95.94638619999999 41.26555210000001)",University of Nebraska Omaha & Creighton University,
"LINESTRING (-95.9907076 30.0954974, -95.51621569999999 29.6946466)",Prairie View A&M University & Houston Christian University,
"LINESTRING (-95.9907076 30.0954974, -95.547276 30.7135813)",Prairie View A&M University & Sam Houston State University,
"LINESTRING (-95.9528284 36.05080929999999, -95.94607529999999 36.1520526)",Oral Roberts University & The University of Tulsa,
"LINESTRING (-95.94607529999999 36.1520526, -94.1748471 36.0686895)",The University of Tulsa & University of Arkansas,
"LINESTRING (-95.547276 30.7135813, -94.64664379999999 31.6216141)",Sam Houston State University & Stephen F. Austin State University,
"LINESTRING (-95.51621569999999 29.6946466, -95.40183119999999 29.7173941)",Houston Christian University & Rice University,
"LINESTRING (-95.40183119999999 29.7173941, -95.35926909999999 29.7214214)",Rice University & Texas Southern University,
"LINESTRING (-95.35926909999999 29.7214214, -95.3422334 29.7199489)",Texas Southern University & University of Houston,
"LINESTRING (-95.3422334 29.7199489, -94.0747071 30.0392256)",University of Houston & Lamar University,
"LINESTRING (-95.2557961 38.95434389999999, -94.58342739999999 39.0343551)",University of Kansas & University of Missouri-Kansas City,
"LINESTRING (-94.1748471 36.0686895, -92.4578916 35.0780939)",University of Arkansas & University of Central Arkansas,
"LINESTRING (-94.1748471 36.0686895, -93.2806806 37.20055459999999)",University of Arkansas & Missouri State University,
"LINESTRING (-94.0747071 30.0392256, -93.2152198 30.1776851)",Lamar University & McNeese State University,
"LINESTRING (-93.6546481 41.6030995, -93.64645159999999 42.0266573)",Drake University & Iowa State University,
"LINESTRING (-93.64645159999999 42.0266573, -92.46464689999999 42.5121517)",Iowa State University & University of Northern Iowa,
"LINESTRING (-93.2277285 44.97399, -93.1897082 44.943096)",University of Minnesota & University of St. Thomas,
"LINESTRING (-93.2152198 30.1776851, -92.019914 30.211991)",McNeese State University & University of Louisiana at Lafayette,
"LINESTRING (-93.1897082 44.943096, -92.46464689999999 42.5121517)",University of St. Thomas & University of Northern Iowa,
"LINESTRING (-93.097876 31.7489726, -92.7179736 32.5197213)",Northwestern State University & Grambling State University,
"LINESTRING (-92.7179736 32.5197213, -92.6522174 32.5299582)",Grambling State University & Louisiana Tech University,
"LINESTRING (-92.6522174 32.5299582, -92.068744 32.5313471)",Louisiana Tech University & University of Louisiana Monroe,
"LINESTRING (-92.46464689999999 42.5121517, -91.5549771 41.66270780000001)",University of Northern Iowa & The University of Iowa,
"LINESTRING (-92.4578916 35.0780939, -92.3378705 34.7252717)",University of Central Arkansas & University of Arkansas at Little Rock,
"LINESTRING (-92.3378705 34.7252717, -92.0217418 34.2473695)",University of Arkansas at Little Rock & University of Arkansas Pine Bluff,
"LINESTRING (-92.32773750000001 38.94038079999999, -90.49747719999999 38.7859638)",University of Missouri & Lindenwood University,
"LINESTRING (-92.068744 32.5313471, -91.1365733 31.8741511)",University of Louisiana Monroe & Alcorn State University,
"LINESTRING (-92.068744 32.5313471, -92.0217418 34.2473695)",University of Louisiana Monroe & University of Arkansas Pine Bluff,
"LINESTRING (-92.019914 30.211991, -91.1800023 30.4132579)",University of Louisiana at Lafayette & Louisiana State University,
"LINESTRING (-91.5549771 41.66270780000001, -90.6837163 40.4674396)",The University of Iowa & Western Illinois University,
"LINESTRING (-91.1929407 30.5265222, -91.1365733 31.8741511)",Southern University and A&M College & Alcorn State University,
"LINESTRING (-91.1929407 30.5265222, -91.1800023 30.4132579)",Southern University and A&M College & Louisiana State University,
"LINESTRING (-91.1800023 30.4132579, -90.4710715 30.5178932)",Louisiana State University & Southeastern Louisiana University,
"LINESTRING (-91.1365733 31.8741511, -90.2063989 32.2968882)",Alcorn State University & Jackson State University,
"LINESTRING (-90.8028911 29.7903032, -90.12031669999999 29.9407282)",Nicholls State University & Tulane University,
"LINESTRING (-90.6837163 40.4674396, -89.6153484 40.6977743)",Western Illinois University & Bradley University,
"LINESTRING (-90.67485889999999 35.8430861, -89.9374928 35.1187498)",Arkansas State University & University of Memphis,
"LINESTRING (-90.49747719999999 38.7859638, -90.23364079999999 38.63482369999999)",Lindenwood University & Saint Louis University,
"LINESTRING (-90.4710715 30.5178932, -90.0680105 30.0273134)",Southeastern Louisiana University & The University of New Orleans,
"LINESTRING (-90.3416715 33.51269819999999, -90.2063989 32.2968882)",Mississippi Valley State University & Jackson State University,
"LINESTRING (-90.3416715 33.51269819999999, -89.5383818 34.36473489999999)",Mississippi Valley State University & University of Mississippi,
"LINESTRING (-90.23364079999999 38.63482369999999, -89.9996714 38.7951375)",Saint Louis University & Southern Illinois University Edwardsville,
"LINESTRING (-90.2063989 32.2968882, -89.33345349999999 31.3298668)",Jackson State University & The University of Southern Mississippi,
"LINESTRING (-90.12031669999999 29.9407282, -90.0680105 30.0273134)",Tulane University & The University of New Orleans,
"LINESTRING (-89.9996714 38.7951375, -89.2229983 37.7079717)",Southern Illinois University Edwardsville & Southern Illinois University,
"LINESTRING (-89.9374928 35.1187498, -89.5383818 34.36473489999999)",University of Memphis & University of Mississippi,
"LINESTRING (-89.6153484 40.6977743, -88.99476299999999 40.5121009)",Bradley University & Illinois State University,
"LINESTRING (-89.5383818 34.36473489999999, -88.79437659999999 33.45517419999999)",University of Mississippi & Mississippi State University,
"LINESTRING (-89.52804379999999 37.3148783, -89.2229983 37.7079717)",Southeast Missouri State University & Southern Illinois University,
